$ python3 bench/scale_space.py --n 10 --k 3 --dims 2,20 --seed 31

n=10 k=3 graine=31 famille=ramp
   d  epsilon/var    exact   minima     niveau min      exact min
   2        1e-04       12       22         4455.9         4450.0
   2        1e-03       12       17         4508.9         4450.0
   2        1e-02       12       17         5039.2         4450.0
   2        1e-01       12       17        10342.5         4450.0
   2        1e+00       12        7        50515.2         4450.0
  20        1e-04      101       46       709190.7       709054.7
  20        1e-03      101       46       709114.8       709054.7
  20        1e-02      101       43       709643.0       709054.7
  20        1e-01      101       43       714960.7       709054.7
  20        1e+00      101       40       768243.7       709054.7

