# famille n separation rectangles masse_attendue ecart
# combined_prefilter_probe --seed=3, emprise par defaut
eight_clusters 8000 6 1318319 31996000 0
eight_clusters 16000 6 3399832 127992000 0
eight_clusters 32000 6 7947899 511984000 0
eight_clusters 8000 8 1944388 31996000 0
eight_clusters 16000 8 5216527 127992000 0
eight_clusters 32000 8 12583384 511984000 0
eight_clusters 8000 10 2624373 31996000 0
eight_clusters 16000 10 7258640 127992000 0
eight_clusters 32000 10 17869750 511984000 0
scanline_single_pass 8000 6 377007 31996000 0
scanline_single_pass 16000 6 801363 127992000 0
scanline_single_pass 32000 6 1659389 511984000 0
scanline_single_pass 8000 8 580421 31996000 0
scanline_single_pass 16000 8 1241999 127992000 0
scanline_single_pass 32000 8 2595906 511984000 0
scanline_single_pass 8000 10 813373 31996000 0
scanline_single_pass 16000 10 1756144 127992000 0
scanline_single_pass 32000 10 3698899 511984000 0
terrain 8000 6 621946 31996000 0
terrain 16000 6 1506898 127992000 0
terrain 32000 6 3591439 511984000 0
terrain 8000 8 948005 31996000 0
terrain 16000 8 2291578 127992000 0
terrain 32000 8 5535416 511984000 0
terrain 8000 10 1312284 31996000 0
terrain 16000 10 3163428 127992000 0
terrain 32000 10 7720807 511984000 0
uniform 8000 6 2440769 31996000 0
uniform 16000 6 5545073 127992000 0
uniform 32000 6 12616686 511984000 0
uniform 8000 8 3957383 31996000 0
uniform 16000 8 9473939 127992000 0
uniform 32000 8 22247725 511984000 0
uniform 8000 10 5669146 31996000 0
uniform 16000 10 14198380 127992000 0
uniform 32000 10 34435529 511984000 0
# uniform s=8 emprise FIXE coord=400
uniform 8000 8 3864079 fixe400
uniform 16000 8 9593453 fixe400
uniform 32000 8 22393190 fixe400
uniform 64000 8 50847653 fixe400
# n=128000 : REFUS, hors profil u16 (n <= 65535, tie-break Morton 16 bits)
