# Campagne brute — prefiltre combine, 15 aout 2026
# colonnes : famille;n;separation;smax;K;rectangles;cellule_max;q2_pct;q3_pct;q4_pct;q4_survivantes;secondes
uniform;8000;6;6;5;2461944;48;99.568;97.862;97.554;782638;40
uniform;8000;6;11;10;2461944;48;99.222;93.951;90.977;2886951;57
uniform;8000;8;6;5;3991167;46;99.592;98.494;98.497;480817;64
uniform;8000;8;11;10;3991167;46;99.287;96.299;95.413;1467542;88
uniform;16000;6;6;5;5592556;116;99.779;98.873;98.692;1674232;105
uniform;16000;6;11;10;5592556;116;99.600;96.691;94.895;6533677;144
uniform;16000;8;6;5;9550746;69;99.792;99.220;99.220;998319;179
uniform;16000;8;11;10;9550746;69;99.633;98.037;97.539;3150065;244
uniform;32000;6;6;5;12714215;270;99.888;99.406;99.305;3558013;289
uniform;32000;6;11;10;12714215;270;99.795;98.230;97.231;14177419;393
uniform;32000;8;6;5;22411353;146;99.894;99.593;99.592;2088533;536
uniform;32000;8;11;10;22411353;146;99.813;98.965;98.695;6680306;710
eight_clusters;8000;6;6;5;1331111;169;99.525;93.275;91.172;2824531;18
eight_clusters;8000;6;11;10;1331111;169;99.071;84.288;76.516;7513952;25
eight_clusters;8000;8;6;5;1962055;84;99.579;95.155;93.771;1992905;26
eight_clusters;8000;8;11;10;1962055;84;99.229;89.086;84.132;5077076;36
eight_clusters;16000;6;6;5;3432825;313;99.741;95.881;94.383;7189809;48
eight_clusters;16000;6;11;10;3432825;313;99.468;89.775;85.003;19194739;66
eight_clusters;16000;8;6;5;5264215;284;99.774;97.087;96.177;4892830;76
eight_clusters;16000;8;11;10;5264215;284;99.566;93.461;89.663;13230968;104
eight_clusters;32000;6;6;5;8021259;492;99.834;97.881;97.324;13698427;129
eight_clusters;32000;6;11;10;8021259;492;99.696;95.064;92.439;38713536;178
eight_clusters;32000;8;6;5;12694614;381;99.876;98.088;97.506;12769758;203
eight_clusters;32000;8;11;10;12694614;381;99.750;95.602;93.589;32825450;275
terrain;8000;6;6;5;632528;186;99.777;99.174;99.016;314835;7
terrain;8000;6;11;10;632528;186;99.627;98.045;97.222;888765;9
terrain;8000;8;6;5;963239;186;99.786;99.368;99.333;213475;11
terrain;8000;8;11;10;963239;186;99.649;98.600;98.298;544478;13
terrain;16000;6;6;5;1528979;341;99.466;99.092;98.990;1292681;26
terrain;16000;6;11;10;1528979;341;99.389;98.464;97.982;2582348;33
terrain;16000;8;6;5;2323686;320;99.892;99.620;99.577;541417;39
terrain;16000;8;11;10;2323686;320;99.822;99.196;98.988;1294715;51
terrain;32000;6;6;5;3635210;482;89.014;88.779;88.703;57841326;85
terrain;32000;6;11;10;3635210;482;88.974;88.430;88.126;60791084;113
terrain;32000;8;6;5;5600432;478;98.606;98.430;98.388;8253134;139
terrain;32000;8;11;10;5600432;478;98.570;98.191;98.043;10019527;181
