== terrain_stationnaire — pentes sécantes 8000→16000 | 16000→32000 (graines [3, 4, 5])
compteur                 pas1 (par graine)          pas2 (par graine)          étendues p1|p2
rect_visites              1.14/ 1.11/ 1.05           1.09/ 1.11/ 1.06           0.09| 0.05
rect_alive_q2             1.02/ 1.02/ 1.02           1.01/ 1.02/ 1.01           0.00| 0.01
rect_alive_q3             1.03/ 1.03/ 1.03           1.03/ 1.04/ 1.03           0.01| 0.01
rect_alive_q4             1.03/ 1.04/ 1.04           1.04/ 1.05/ 1.03           0.01| 0.02
ancres_q3                 1.18/ 1.04/ 1.29           1.22/ 1.20/ 1.04           0.24| 0.18
ancres_q4                 1.35/ 1.09/ 1.44           1.38/ 1.34/ 1.04           0.35| 0.34
hist_survivants_q3        1.10/ 1.05/ 1.18           1.15/ 1.15/ 1.08           0.14| 0.07
hist_survivants_q4        1.21/ 1.09/ 1.27           1.25/ 1.26/ 1.09           0.19| 0.16
seeds_q3                  1.03/ 1.07/ 1.18           1.13/ 1.16/ 1.30           0.15| 0.17
seeds_q4                  0.97/ 1.07/ 1.28           1.22/ 1.16/ 1.35           0.30| 0.19
seeds_core_tues           0.94/ 1.06/ 1.24           1.23/ 1.13/ 1.31           0.30| 0.18
seeds_corde_tues          1.06/ 1.06/ 1.19           1.07/ 1.26/ 1.23           0.13| 0.19
W_sweep1_tests_coeur      0.91/ 1.07/ 1.48           1.32/ 1.30/ 2.08           0.57| 0.78
W_scan_q3                 1.02/ 1.06/ 1.15           1.10/ 1.15/ 1.25           0.13| 0.15
W_sweep2_tests_passe2     0.99/ 1.02/ 1.13           1.09/ 1.17/ 1.32           0.14| 0.23
tri_comparaisons          0.97/ 1.03/ 1.19           1.13/ 1.20/ 1.49           0.22| 0.37
P_factor_q3               1.29/ 1.04/ 1.49           1.39/ 1.34/ 1.12           0.45| 0.27
P_factor_q4               1.51/ 1.11/ 1.64           1.55/ 1.50/ 1.16           0.52| 0.39
sweep_seeds_p2            1.02/ 1.02/ 1.03           1.00/ 1.05/ 1.05           0.01| 0.05
sweep_racines             0.97/ 1.02/ 1.15           1.08/ 1.18/ 1.39           0.18| 0.31
sweep_hors_corde          1.00/ 1.02/ 1.12           1.09/ 1.16/ 1.29           0.12| 0.20
P_role                    0.97/ 1.02/ 1.15           1.08/ 1.18/ 1.39           0.18| 0.31
candidats_q3              1.02/ 1.03/ 1.02           1.01/ 1.02/ 1.02           0.01| 0.02
candidats_q4              1.02/ 1.01/ 1.11           0.94/ 1.09/ 1.03           0.10| 0.15
tues_profondeur_q4        1.01/ 1.03/ 1.13           1.10/ 1.20/ 1.36           0.12| 0.26
