# matrice_resume — murs par point pre-enregistre (contrastes fils/inflight/join/
# digest ; dispersion entre passages, JAMAIS une conclusion — la decision passe
# par l'arbre pre-enregistre du § 5.10 apres audit).
famille	n	fils	inflight	join	digest	passage	mur_ms	duree_s	rss_kb
uniform	16000	16	2	0	sans	1	21609.1	21	5162892
uniform	16000	24	2	0	sans	1	17280.5	18	5880776
uniform	16000	32	2	0	sans	1	15810.4	15	5793916
uniform	16000	48	2	0	sans	1	13642.0	14	6590304
uniform	16000	24	1	0	sans	1	18671.2	19	5326340
uniform	16000	24	4	0	sans	1	17107.7	17	5840708
uniform	16000	48	1	0	sans	1	15791.5	16	5933080
uniform	16000	48	4	0	sans	1	13594.6	14	6588000
uniform	16000	16	2	1	sans	1	26322.8	26	4536064
uniform	16000	48	2	1	sans	1	18364.1	19	5514280
uniform	16000	48	2	0	avec	1	16853.7	17	6798656
uniform	16000	48	2	1	avec	1	23962.0	24	5667972
uniform	50000	48	2	0	sans	1	48049.6	48	18861224
uniform	50000	48	2	1	sans	1	64758.6	65	14674668
uniform	50000	48	2	0	avec	1	58912.2	59	19832568
uniform	50000	48	2	1	avec	1	83050.6	83	15103652
uniform	50000	48	2	1	avec	2	82631.5	83	15566732
uniform	50000	48	2	0	avec	2	58190.9	58	19787788
uniform	50000	48	2	1	sans	2	64800.7	65	14654328
uniform	50000	48	2	0	sans	2	48055.8	48	18134432
uniform	16000	48	2	1	avec	2	23745.3	24	5629624
uniform	16000	48	2	0	avec	2	16760.9	17	6740888
uniform	16000	48	2	1	sans	2	18270.5	18	5542220
uniform	16000	16	2	1	sans	2	26666.1	27	4489164
uniform	16000	48	4	0	sans	2	13527.1	13	6570348
uniform	16000	48	1	0	sans	2	15790.0	16	5991984
uniform	16000	24	4	0	sans	2	17086.0	17	5838160
uniform	16000	24	1	0	sans	2	18448.9	19	5303408
uniform	16000	48	2	0	sans	2	13579.8	14	6581680
uniform	16000	32	2	0	sans	2	15959.8	16	5809496
uniform	16000	24	2	0	sans	2	17299.1	17	5881316
uniform	16000	16	2	0	sans	2	21783.8	22	5152744
uniform	16000	16	2	1	sans	3	26515.6	27	4493964
uniform	16000	48	2	1	sans	3	18304.8	18	5534132
uniform	16000	48	2	0	avec	3	16833.1	17	6750636
uniform	16000	48	2	1	avec	3	23866.7	24	5842896
uniform	50000	48	2	0	sans	3	48216.0	48	18901732
uniform	50000	48	2	1	sans	3	64704.1	65	14669760
uniform	50000	48	2	0	avec	3	59116.9	59	19774628
uniform	50000	48	2	1	avec	3	82629.4	83	15042900
uniform	16000	16	2	0	sans	3	21654.1	22	5154308
uniform	16000	24	2	0	sans	3	17144.4	17	5876136
uniform	16000	32	2	0	sans	3	15911.1	16	5757212
uniform	16000	48	2	0	sans	3	13560.1	14	6677144
uniform	16000	24	1	0	sans	3	18713.0	18	5336976
uniform	16000	24	4	0	sans	3	17151.3	18	5886328
uniform	16000	48	1	0	sans	3	15713.2	15	6078092
uniform	16000	48	4	0	sans	3	13505.9	14	6633760
