# sweep_resume — murs par nombre de fils (dispersion, JAMAIS une conclusion de speedup).
famille	n	fils	runs	mur_median_ms	mur_min_ms	mur_max_ms	rss_max_kb
eight_clusters	16000	1	2	232640.2	232457.8	232822.6	3460024
eight_clusters	16000	2	2	138329.9	138234.1	138425.6	3562824
eight_clusters	16000	4	2	74608.2	74153.6	75062.8	3682176
eight_clusters	16000	8	2	42721.4	42460.9	42981.8	3878184
eight_clusters	16000	16	2	24424.5	24384.7	24464.3	4897556
eight_clusters	16000	32	2	16865.9	16831.6	16900.2	5029960
eight_clusters	16000	48	2	14833.2	14827.6	14838.8	6030276
uniform	16000	1	2	184255.9	184117.6	184394.2	3935420
uniform	16000	2	2	117965.4	117586.5	118344.4	4010024
uniform	16000	4	2	64145.6	62668.6	65622.7	4138180
uniform	16000	8	2	39012.0	38742.4	39281.6	4370572
uniform	16000	16	2	22806.6	22656.9	22956.3	5253588
uniform	16000	32	2	15693.6	15589.5	15797.8	5746908
uniform	16000	48	2	14154.5	14149.6	14159.4	7041324
uniform	50000	8	2	133884.4	133636.6	134132.2	13997180
uniform	50000	16	2	81325.6	80863.2	81788.0	16092020
uniform	50000	48	2	48973.3	48845.0	49101.6	19067344
