# matrice_resume — murs par point pre-enregistre (contrastes fils/inflight/join/
# digest ; dispersion entre passages, JAMAIS une conclusion — la decision passe
# par l'arbre pre-enregistre du § 5.10 apres audit).
famille	n	fils	inflight	join	digest	smax	passage	mur_ms	duree_s	rss_kb
uniform	8000	48	2	0	sans	11	1	6181.6	6	3339576
uniform	16000	48	2	0	sans	11	1	13233.7	13	6444828
uniform	32000	48	2	0	sans	11	1	29097.2	30	12206468
uniform	50000	48	2	0	sans	11	1	47381.8	47	18570572
terrain	8000	48	2	0	sans	11	1	1147.9	1	697696
terrain	16000	48	2	0	sans	11	1	2764.8	3	1408680
terrain	32000	48	2	0	sans	11	1	7743.0	8	2368148
terrain	50000	48	2	0	sans	11	1	16937.6	17	3970324
eight_clusters	8000	48	2	0	sans	11	1	5965.9	6	2844848
eight_clusters	16000	48	2	0	sans	11	1	14160.4	14	6052404
eight_clusters	32000	48	2	0	sans	11	1	34645.1	35	10906408
eight_clusters	50000	48	2	0	sans	11	1	60699.4	61	16597436
scanline_single_pass	8000	48	2	0	sans	11	1	1094.0	1	680372
scanline_single_pass	16000	48	2	0	sans	11	1	2415.2	2	1292560
scanline_single_pass	32000	48	2	0	sans	11	1	6564.0	6	2481832
scanline_single_pass	50000	48	2	0	sans	11	1	13343.7	14	3807792
uniform	8000	48	2	0	sans	6	1	1234.3	1	676732
uniform	16000	48	2	0	sans	6	1	2573.6	2	1247732
uniform	32000	48	2	0	sans	6	1	5581.6	5	2408144
uniform	50000	48	2	0	sans	6	1	9070.4	9	3962244
terrain	8000	48	2	0	sans	6	1	371.5	1	203616
terrain	16000	48	2	0	sans	6	1	848.2	1	394376
terrain	32000	48	2	0	sans	6	1	2247.7	2	774180
terrain	50000	48	2	0	sans	6	1	4868.1	5	1233008
eight_clusters	8000	48	2	0	sans	6	1	1305.7	1	600604
eight_clusters	16000	48	2	0	sans	6	1	3072.3	3	1207820
eight_clusters	32000	48	2	0	sans	6	1	7364.8	8	2276496
eight_clusters	50000	48	2	0	sans	6	1	12918.3	13	3885520
scanline_single_pass	8000	48	2	0	sans	6	1	353.8	0	209252
scanline_single_pass	16000	48	2	0	sans	6	1	735.6	1	357840
scanline_single_pass	32000	48	2	0	sans	6	1	1956.7	2	798032
scanline_single_pass	50000	48	2	0	sans	6	1	4206.1	4	1140856
uniform	32000	48	2	0	avec	11	1	35982.5	36	12422888
terrain	32000	48	2	0	avec	11	1	8865.2	9	2487716
eight_clusters	32000	48	2	0	avec	11	1	40845.4	41	10992124
scanline_single_pass	32000	48	2	0	avec	11	1	7608.7	8	2381248
uniform	32000	48	2	0	avec	6	1	6624.3	7	2597144
terrain	32000	48	2	0	avec	6	1	2502.3	2	815336
eight_clusters	32000	48	2	0	avec	6	1	8315.6	9	2477292
scanline_single_pass	32000	48	2	0	avec	6	1	2242.3	2	844064
scanline_single_pass	32000	48	2	0	avec	6	2	2238.8	2	834176
eight_clusters	32000	48	2	0	avec	6	2	8250.6	9	2457060
terrain	32000	48	2	0	avec	6	2	2498.4	2	884620
uniform	32000	48	2	0	avec	6	2	6623.6	7	2592448
scanline_single_pass	32000	48	2	0	avec	11	2	7649.7	7	2398080
eight_clusters	32000	48	2	0	avec	11	2	40655.9	40	10926684
terrain	32000	48	2	0	avec	11	2	8844.6	9	2467624
uniform	32000	48	2	0	avec	11	2	35744.5	36	12367260
scanline_single_pass	50000	48	2	0	sans	6	2	4199.5	4	1135468
scanline_single_pass	32000	48	2	0	sans	6	2	1963.0	2	808924
scanline_single_pass	16000	48	2	0	sans	6	2	733.7	1	378156
scanline_single_pass	8000	48	2	0	sans	6	2	343.9	0	188040
eight_clusters	50000	48	2	0	sans	6	2	12860.4	12	3884400
eight_clusters	32000	48	2	0	sans	6	2	7352.5	8	2329528
eight_clusters	16000	48	2	0	sans	6	2	3042.8	3	1232224
eight_clusters	8000	48	2	0	sans	6	2	1299.6	1	611684
terrain	50000	48	2	0	sans	6	2	4866.0	5	1241464
terrain	32000	48	2	0	sans	6	2	2245.2	3	783880
terrain	16000	48	2	0	sans	6	2	846.7	0	397360
terrain	8000	48	2	0	sans	6	2	364.8	1	196280
uniform	50000	48	2	0	sans	6	2	9095.2	9	3984464
uniform	32000	48	2	0	sans	6	2	5559.5	6	2425444
uniform	16000	48	2	0	sans	6	2	2572.3	2	1247836
uniform	8000	48	2	0	sans	6	2	1237.5	2	648040
scanline_single_pass	50000	48	2	0	sans	11	2	13329.3	13	3840728
scanline_single_pass	32000	48	2	0	sans	11	2	6525.4	7	2493548
scanline_single_pass	16000	48	2	0	sans	11	2	2395.3	2	1297032
scanline_single_pass	8000	48	2	0	sans	11	2	1094.1	1	702568
eight_clusters	50000	48	2	0	sans	11	2	61141.2	61	16602756
eight_clusters	32000	48	2	0	sans	11	2	34652.0	34	10945676
eight_clusters	16000	48	2	0	sans	11	2	14342.8	15	5997216
eight_clusters	8000	48	2	0	sans	11	2	5970.1	6	2849516
terrain	50000	48	2	0	sans	11	2	17035.7	17	3987012
terrain	32000	48	2	0	sans	11	2	7752.6	8	2395976
terrain	16000	48	2	0	sans	11	2	2776.5	3	1334144
terrain	8000	48	2	0	sans	11	2	1148.0	1	688164
uniform	50000	48	2	0	sans	11	2	47971.8	48	18958852
uniform	32000	48	2	0	sans	11	2	29400.3	29	12176404
uniform	16000	48	2	0	sans	11	2	13450.0	14	6669912
uniform	8000	48	2	0	sans	11	2	6210.5	6	3306776
