rectangle_ordinal	begin	end	s2_rectangle_mask
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	1	4
60	1	1	0
61	1	1	0
62	1	1	0
63	1	1	0
64	1	1	0
65	1	1	0
66	1	1	0
67	1	1	0
68	1	1	0
69	1	1	0
70	1	1	0
71	1	1	0
72	1	1	0
73	1	1	0
74	1	1	0
75	1	1	0
76	1	1	0
77	1	1	0
78	1	1	0
79	1	1	0
80	1	1	0
81	1	1	0
82	1	1	0
83	1	1	0
84	1	1	0
85	1	1	0
86	1	1	0
87	1	1	0
88	1	1	0
89	1	1	0
90	1	1	0
91	1	1	0
92	1	1	0
93	1	1	0
94	1	1	0
95	1	1	0
96	1	1	0
97	1	1	0
98	1	1	0
99	1	1	0
100	1	1	0
101	1	1	0
102	1	1	0
103	1	1	0
104	1	1	0
105	1	1	0
106	1	1	0
107	1	1	0
108	1	1	0
109	1	1	0
110	1	1	0
111	1	1	0
112	1	1	0
113	1	1	0
114	1	1	0
115	1	1	0
116	1	1	0
117	1	1	6
118	1	1	0
119	1	1	0
120	1	1	0
121	1	1	0
122	1	1	0
123	1	1	0
124	1	7	6
125	7	7	6
126	7	7	6
127	7	13	6
128	13	13	6
129	13	18	6
130	18	25	6
131	25	36	6
132	36	36	0
133	36	36	0
134	36	36	0
135	36	36	0
136	36	36	0
137	36	36	0
138	36	36	0
139	36	36	0
140	36	36	0
141	36	36	0
142	36	36	0
143	36	36	0
144	36	36	0
145	36	36	4
146	36	36	0
147	36	36	4
148	36	47	6
149	47	47	6
150	47	52	6
151	52	60	6
152	60	60	0
153	60	60	0
154	60	60	0
155	60	60	0
156	60	60	0
157	60	60	0
158	60	60	0
159	60	60	0
160	60	60	0
161	60	60	0
162	60	60	0
163	60	60	0
164	60	60	0
165	60	60	0
166	60	60	0
167	60	60	0
168	60	60	0
169	60	60	0
170	60	60	0
171	60	60	0
172	60	69	6
173	69	73	6
174	73	80	6
175	80	82	6
176	82	88	6
177	88	92	6
178	92	96	6
179	96	96	6
180	96	96	4
181	96	98	6
182	98	98	6
183	98	99	6
184	99	99	4
185	99	104	6
186	104	108	6
187	108	110	6
188	110	115	6
189	115	119	6
190	119	120	6
191	120	128	6
192	128	132	6
193	132	132	6
194	132	132	6
195	132	136	6
196	136	136	0
197	136	138	6
198	138	138	0
199	138	153	6
200	153	153	6
201	153	161	6
202	161	172	6
203	172	172	0
204	172	178	6
205	178	178	6
206	178	184	6
207	184	190	6
208	190	190	6
209	190	196	6
210	196	211	6
211	211	223	6
212	223	229	6
213	229	256	6
214	256	256	0
215	256	256	0
216	256	256	6
217	256	256	6
218	256	256	4
219	256	256	0
220	256	256	4
221	256	256	2
222	256	256	0
223	256	256	0
224	256	256	6
225	256	256	0
226	256	256	4
227	256	274	6
228	274	277	6
229	277	277	0
230	277	286	6
231	286	286	4
