s2_ordinal	rectangle_ordinal	local_a	local_b	raw_a	raw_b	s2_mask	F	post_core_mask	post_s3_mask
0	59	170	486	31928	27620	4	46	0	0
1	124	523	138	23638	2401	6	66	2	0
2	124	523	136	23638	416	6	68	0	0
3	124	523	145	23638	2399	6	57	6	0
4	124	523	144	23638	414	6	61	6	0
5	124	523	146	23638	413	6	38	6	6
6	124	523	155	23638	4321	6	50	2	0
7	127	576	138	21584	2401	6	87	0	0
8	127	576	136	21584	416	6	89	0	0
9	127	576	145	21584	2399	6	78	0	0
10	127	576	144	21584	414	6	80	0	0
11	127	576	146	21584	413	6	59	0	0
12	127	576	155	21584	4321	6	75	0	0
13	129	523	161	23638	10012	6	58	0	0
14	129	523	176	23638	17776	6	25	6	0
15	129	523	180	23638	15796	6	44	0	0
16	129	523	187	23638	10006	6	56	0	0
17	129	523	192	23638	10004	4	58	0	0
18	130	523	160	23638	4320	6	46	6	0
19	130	523	164	23638	4319	6	39	6	0
20	130	523	159	23638	2394	6	70	0	0
21	130	523	171	23638	4316	6	51	6	0
22	130	523	182	23638	6218	6	43	6	0
23	130	523	189	23638	6217	6	62	0	0
24	130	523	185	23638	4313	6	63	0	0
25	131	576	161	21584	10012	6	77	0	0
26	131	576	176	21584	17776	6	44	0	0
27	131	576	180	21584	15796	4	62	0	0
28	131	576	187	21584	10006	4	69	0	0
29	131	576	160	21584	4320	6	68	0	0
30	131	576	164	21584	4319	6	59	0	0
31	131	576	159	21584	2394	4	87	0	0
32	131	576	171	21584	4316	6	69	0	0
33	131	576	182	21584	6218	6	61	0	0
34	131	576	189	21584	6217	4	74	0	0
35	131	576	185	21584	4313	6	74	0	0
36	148	603	138	21596	2401	4	96	0	0
37	148	603	145	21596	2399	6	93	0	0
38	148	603	144	21596	414	6	94	0	0
39	148	603	146	21596	413	6	89	0	0
40	148	603	155	21596	4321	6	89	0	0
41	148	670	145	19579	2399	4	95	0	0
42	148	670	144	19579	414	4	96	0	0
43	148	670	146	19579	413	6	92	0	0
44	148	670	155	19579	4321	4	92	0	0
45	148	678	145	19576	2399	4	96	0	0
46	148	678	146	19576	413	6	94	0	0
47	150	603	161	21596	10012	4	88	0	0
48	150	603	176	21596	17776	6	62	0	0
49	150	603	180	21596	15796	4	72	0	0
50	150	670	176	19579	17776	6	67	0	0
51	150	678	176	19576	17776	6	71	0	0
52	151	603	160	21596	4320	6	85	0	0
53	151	603	164	21596	4319	6	82	0	0
54	151	603	171	21596	4316	4	81	0	0
55	151	603	182	21596	6218	6	72	0	0
56	151	670	160	19579	4320	4	88	0	0
57	151	670	164	19579	4319	6	85	0	0
