rectangle_ordinal	begin	end	s2_rectangle_mask
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	2
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	2	6
15	2	2	0
16	2	3	6
17	3	3	2
18	3	4	6
19	4	5	6
20	5	5	0
21	5	5	0
22	5	6	6
23	6	6	0
24	6	6	0
25	6	6	0
26	6	6	0
27	6	6	0
28	6	6	6
29	6	6	0
30	6	6	0
31	6	6	0
32	6	6	2
33	6	7	6
34	7	8	6
35	8	8	6
36	8	10	6
37	10	11	6
38	11	11	0
39	11	12	6
40	12	12	0
41	12	12	0
42	12	12	0
43	12	12	0
44	12	12	0
45	12	13	6
46	13	13	0
47	13	13	0
48	13	13	0
49	13	15	6
50	15	15	0
51	15	16	6
52	16	16	0
53	16	16	0
54	16	16	0
55	16	16	0
56	16	16	0
57	16	16	0
58	16	16	0
59	16	16	0
60	16	16	0
61	16	17	6
62	17	18	6
63	18	19	6
64	19	20	6
65	20	22	6
66	22	24	6
67	24	26	6
68	26	28	6
69	28	30	6
70	30	32	6
71	32	33	6
72	33	33	0
73	33	35	6
74	35	35	0
75	35	35	0
76	35	35	0
77	35	35	0
78	35	36	6
79	36	37	6
80	37	38	6
81	38	39	6
82	39	41	6
83	41	42	2
84	42	42	0
85	42	42	4
86	42	44	6
87	44	46	6
88	46	50	6
89	50	54	6
90	54	56	6
91	56	57	6
92	57	59	6
93	59	61	6
94	61	61	0
95	61	61	0
96	61	63	6
97	63	65	6
98	65	65	0
99	65	65	0
100	65	65	0
101	65	65	0
102	65	65	0
103	65	67	6
104	67	67	0
105	67	68	6
106	68	68	0
107	68	69	2
108	69	71	6
109	71	73	6
110	73	75	6
111	75	76	6
112	76	77	2
113	77	79	6
114	79	79	0
115	79	79	0
116	79	81	6
117	81	81	0
118	81	81	0
119	81	83	6
120	83	85	6
121	85	85	0
122	85	89	6
123	89	89	0
124	89	89	0
125	89	89	0
126	89	89	0
127	89	89	0
128	89	89	0
129	89	89	0
130	89	89	4
131	89	89	0
132	89	89	0
133	89	89	0
134	89	89	0
135	89	89	0
136	89	89	0
137	89	89	0
138	89	89	0
139	89	89	0
140	89	89	0
141	89	89	0
142	89	89	0
143	89	89	0
144	89	89	0
145	89	89	0
146	89	89	0
147	89	89	0
148	89	89	0
149	89	89	0
150	89	89	0
151	89	89	0
152	89	89	0
153	89	89	0
154	89	89	0
155	89	89	0
156	89	89	0
157	89	89	0
158	89	89	0
159	89	89	0
160	89	89	0
161	89	89	0
162	89	89	0
163	89	89	0
164	89	89	0
165	89	89	0
166	89	89	0
167	89	89	0
168	89	95	2
169	95	101	2
170	101	101	0
171	101	101	0
172	101	101	0
173	101	103	2
174	103	105	6
175	105	107	6
176	107	107	0
177	107	107	0
178	107	109	6
179	109	109	0
180	109	109	0
181	109	109	2
182	109	109	0
183	109	109	0
184	109	109	0
185	109	109	0
186	109	115	6
187	115	118	2
188	118	120	2
189	120	121	2
190	121	122	6
191	122	123	6
192	123	123	0
193	123	123	2
194	123	123	0
195	123	123	0
196	123	127	6
197	127	131	6
198	131	131	4
199	131	132	6
200	132	135	6
201	135	141	6
202	141	142	6
203	142	143	6
204	143	144	6
205	144	145	6
206	145	146	6
207	146	147	6
208	147	149	6
209	149	151	6
210	151	153	6
211	153	154	6
212	154	154	0
213	154	156	6
214	156	157	6
215	157	159	6
216	159	161	6
217	161	162	6
218	162	166	6
219	166	168	6
220	168	168	0
221	168	168	0
222	168	168	0
223	168	168	0
224	168	168	0
225	168	168	0
226	168	168	0
227	168	171	6
228	171	173	6
229	173	174	2
230	174	174	0
231	174	174	0
