s2_ordinal	rectangle_ordinal	local_a	local_b	raw_a	raw_b	s2_mask	F	post_core_mask	post_s3_mask
0	14	1151	1088	13477	7888	6	12	0	0
1	14	1151	1091	13477	7887	6	10	2	2
2	16	1151	1119	13477	4091	2	19	2	0
3	18	1142	1179	13444	13561	6	23	6	0
4	19	1151	1179	13477	13561	6	4	6	6
5	22	1151	1162	13477	2143	6	35	0	0
6	33	1194	1179	13415	13561	6	10	0	0
7	34	1195	1091	11585	7887	2	11	2	0
8	36	1195	1103	11585	7893	2	17	0	0
9	36	1195	1119	11585	4091	6	13	6	0
10	37	1195	1118	11585	9770	6	23	2	0
11	39	1195	1179	11585	13561	6	4	6	6
12	45	1195	1162	11585	2143	6	13	2	0
13	49	1071	1088	15477	7888	2	9	2	0
14	49	1071	1091	15477	7887	6	8	6	2
15	51	1096	1091	13508	7887	6	9	2	0
16	61	1096	1179	13508	13561	6	32	6	2
17	62	1094	1084	9761	13572	6	4	6	6
18	63	1094	1088	9761	7888	6	3	6	6
19	64	1094	1091	9761	7887	6	2	6	6
20	65	1094	1090	9761	5976	6	5	6	6
21	65	1094	1095	9761	5975	6	4	6	6
22	66	1081	1084	150	13572	6	10	0	0
23	66	1085	1084	148	13572	6	11	0	0
24	67	1081	1088	150	7888	6	3	6	6
25	67	1081	1091	150	7887	6	2	6	6
26	68	1085	1088	148	7888	6	4	6	6
27	68	1085	1091	148	7887	6	2	6	6
28	69	1081	1090	150	5976	6	4	6	6
29	69	1081	1095	150	5975	6	4	6	6
30	70	1085	1090	148	5976	6	6	6	6
31	70	1085	1095	148	5975	6	5	6	6
32	71	1094	1076	9761	13575	6	6	6	6
33	73	1081	1076	150	13575	2	12	0	0
34	73	1085	1076	148	13575	4	12	0	0
35	78	1081	1087	150	5978	6	7	6	6
36	79	1085	1087	148	5978	6	8	2	2
37	80	1081	1079	150	2149	6	2	6	6
38	81	1085	1079	148	2149	6	4	6	6
39	82	1081	1080	150	2154	6	8	6	6
40	82	1085	1080	148	2154	6	10	6	6
41	83	1094	1103	9761	7893	2	8	2	2
42	86	1081	1119	150	4091	6	11	6	6
43	86	1085	1119	148	4091	6	10	6	6
44	87	1131	1084	13563	13572	6	7	6	6
45	87	1130	1084	13564	13572	6	5	6	6
46	88	1131	1088	13563	7888	6	5	6	6
47	88	1131	1091	13563	7887	6	4	6	6
48	88	1130	1088	13564	7888	6	4	6	6
49	88	1130	1091	13564	7887	6	2	6	6
50	89	1131	1090	13563	5976	6	8	2	0
51	89	1131	1095	13563	5975	6	5	6	6
52	89	1130	1090	13564	5976	6	6	6	6
53	89	1130	1095	13564	5975	6	3	6	6
54	90	1131	1076	13563	13575	6	12	6	6
55	90	1130	1076	13564	13575	6	11	6	6
56	91	1130	1072	13564	13579	6	12	0	0
57	92	1131	1087	13563	5978	2	10	0	0
58	92	1130	1087	13564	5978	6	8	0	0
59	93	1131	1093	13563	7895	6	8	6	6
60	93	1130	1093	13564	7895	6	7	6	6
61	96	1131	1103	13563	7893	6	3	6	6
