s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	disk_tests	center_membership_tests	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
173	2	2	9	0	1	0.194	0.194	20	9	20	18	181	181	5792	174	7	9	56	44	74	66	9087	8	0	7	9	0	0	0.003
196	6	0	15	6	1	0.381	0.381	25	12	50	31	457	457	14624	441	16	22	126	85	230	212	14886	15	0	16	22	3	4	0.006
236	2	0	49	2	1	2.097	0.298	29	14	29	20	680	680	21760	664	16	43	220	70	374	304	952	10	0	16	43	4	22	0.014
472	6	6	17	6	1	0.825	0.826	53	14	102	97	1930	1930	61760	1881	49	87	574	468	839	1976	10753	60	0	49	87	17	62	0.031
521	2	0	41	2	1	0.297	0.297	29	14	29	18	691	691	22112	672	19	40	197	94	381	420	2311	10	0	19	40	2	2	0.009
558	4	4	41	0	1	0.128	0.129	27	12	27	42	313	313	10016	305	8	8	125	104	76	299	996	13	0	8	8	4	4	0.003
577	2	0	47	2	1	0.267	0.268	25	13	25	17	522	522	16704	508	14	19	124	63	321	212	5483	7	0	14	19	3	13	0.007
672	2	2	46	2	1	1.198	0.720	41	18	41	39	1373	1373	43936	1339	34	72	445	204	690	1020	15694	18	0	34	72	9	28	0.022
676	6	6	45	4	1	1.074	1.075	53	14	63	77	1672	1672	53504	1627	45	103	580	283	764	1044	33958	38	0	45	103	26	128	0.046
689	6	0	51	6	1	0.610	0.610	37	14	66	58	860	860	27520	828	32	44	263	98	467	1048	20969	28	0	32	44	9	65	0.021
927	4	4	53	0	1	0.218	0.218	21	8	21	25	383	383	12256	376	7	14	104	115	157	160	5558	9	0	7	14	3	4	0.004
932	4	4	34	4	1	0.454	0.455	41	16	41	48	721	721	23072	687	34	50	172	275	240	668	12083	20	0	34	50	4	17	0.015
963	6	0	8	6	1	0.388	0.388	37	14	66	52	445	445	14240	416	29	33	117	130	169	360	17011	28	0	29	33	3	9	0.009
992	6	6	9	0	1	0.597	0.597	49	8	64	69	600	600	19200	557	43	43	170	270	117	609	26863	43	0	43	43	5	5	0.012
1035	6	6	13	0	1	0.193	0.193	25	14	33	38	230	230	7360	225	5	5	80	85	60	247	8229	11	2	5	5	4	4	0.002
1048	6	6	24	0	1	0.804	0.805	53	12	90	85	855	855	27360	809	46	67	241	274	294	521	34873	54	0	46	67	7	52	0.024
1144	6	6	2	0	1	0.038	0.037	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
1191	2	2	8	0	1	0.124	0.124	24	13	24	34	120	120	3840	115	5	5	36	38	41	96	5668	9	0	5	5	0	0	0.001
1223	6	6	4	0	1	0.036	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
1486	6	6	6	0	1	0.333	0.334	28	7	51	45	186	186	5952	159	27	27	42	64	53	105	20042	31	0	27	27	1	8	0.008
1764	4	0	8	4	1	0.258	0.258	29	12	29	22	520	520	16640	504	16	18	176	92	236	204	2833	12	0	16	18	4	50	0.013
1962	6	6	19	0	1	0.625	0.625	58	16	79	76	1350	1350	43200	1305	45	55	467	354	484	1098	10456	46	0	45	55	9	42	0.020
2317	6	6	2	0	1	0.037	0.037	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
2477	6	2	7	6	1	0.636	0.637	57	14	86	106	1020	1020	32640	966	54	55	341	185	440	420	17768	45	0	54	55	9	60	0.042
2480	6	6	13	0	1	0.140	0.141	25	15	36	40	162	162	5184	159	3	3	60	47	52	133	6162	11	2	3	3	4	9	0.002
2674	2	2	72	2	1	0.847	0.847	65	29	65	47	2013	2013	64416	1970	43	60	408	1054	508	3012	9978	31	0	43	60	12	12	0.017
2679	2	2	11	0	1	0.419	0.420	33	13	33	43	995	995	31840	972	23	29	265	327	380	971	5695	16	0	23	29	3	3	0.008
2706	6	6	44	0	1	0.369	0.369	28	9	49	60	709	709	22688	695	14	20	205	249	241	633	7925	22	0	14	20	4	5	0.006
2733	2	2	9	2	1	0.446	0.446	37	15	37	29	1053	1053	33696	1036	17	32	219	299	518	1124	5967	17	0	17	32	4	6	0.009
2832	4	0	94	4	1	0.448	0.449	37	13	37	47	1019	1019	32608	986	33	56	239	195	552	888	4329	16	0	33	56	4	11	0.015
2871	4	0	47	4	1	0.118	0.118	21	12	21	10	272	272	8704	268	4	14	74	8	186	20	1268	4	0	4	14	1	5	0.004
2909	4	0	131	4	1	0.186	0.186	25	12	25	18	414	414	13248	406	8	17	96	34	276	260	2524	8	0	8	17	3	13	0.006
2923	6	0	59	6	1	0.473	0.474	33	13	62	56	874	874	27968	852	22	61	264	112	476	628	10614	25	0	22	61	8	71	0.025
2994	4	4	7	4	1	0.260	0.260	45	18	45	36	570	570	18240	539	31	34	174	130	235	420	1302	22	0	31	34	9	52	0.017
