s2_ordinal	proved_mask
173	0
196	6
236	2
472	6
521	2
558	0
577	2
672	2
676	4
689	6
927	0
932	4
963	6
992	0
1035	0
1048	0
1144	0
1191	0
1223	0
1486	0
1764	4
1962	0
2317	0
2477	6
2480	0
2674	2
2679	0
2706	0
2733	2
2832	4
2871	4
2909	4
2923	6
2994	4
3038	6
3092	2
3235	4
3607	2
3625	6
3761	4
4303	6
4337	4
4342	2
4377	6
4403	0
4410	4
4440	6
4468	4
4522	0
4547	2
4639	4
4915	4
5110	0
5335	2
5498	2
5532	0
5599	0
5603	0
5644	2
5660	0
5687	4
5737	2
5743	2
5765	0
6000	0
6004	0
6196	0
6236	0
6384	0
6404	4
6426	4
6433	4
6523	6
6526	6
6669	4
6673	4
6843	6
6871	2
6918	0
7165	2
7286	4
7326	4
7552	4
7590	4
7801	0
7949	0
7986	2
8300	4
8342	4
8357	2
8485	4
8513	2
8569	6
8664	4
8680	4
8715	2
8851	6
8994	0
9047	2
9342	0
10270	0
10458	6
10485	6
10494	6
10580	0
10758	4
10883	4
11086	2
11088	0
11095	2
11113	4
11135	4
11143	0
11150	2
11201	2
11436	0
11501	6
11701	4
11709	2
11714	2
11873	6
12050	4
12069	6
12181	2
12193	2
12198	2
12261	0
12294	0
12300	4
12445	4
12458	0
12519	6
12633	0
12837	0
13054	4
13112	0
13113	0
13264	0
13348	0
13405	6
13417	0
13535	4
13688	2
14023	4
14028	0
14438	4
14553	6
14830	0
14881	0
14884	4
15038	0
15096	4
15412	0
15450	0
15607	4
15868	0
15916	0
15926	6
16297	4
16326	0
16551	4
16589	2
16672	0
16698	0
17012	0
17121	0
17273	6
17481	6
17489	6
17495	0
17533	4
17679	0
17845	0
17979	4
18001	0
18038	2
18056	4
18295	0
18779	0
18823	2
18940	4
18944	0
19207	6
19267	0
19435	0
19533	0
19688	0
20031	6
20234	6
20428	0
20534	6
20546	0
20549	0
20567	0
20574	6
20757	4
21043	0
21131	4
21236	2
21338	4
21430	4
21436	6
21652	0
21679	0
21694	0
22004	0
22261	2
22334	0
22353	6
22367	4
22384	4
22764	6
22917	0
22924	6
22989	0
23026	4
23079	0
23103	6
23199	0
23390	4
23412	0
23542	0
23580	4
23581	4
23582	4
23583	6
23589	4
23617	0
23826	2
24002	0
24390	0
24436	2
24504	0
24557	0
24601	0
24635	0
24728	0
24778	0
24913	0
24971	0
25515	2
25548	0
25669	2
25851	0
25868	0
25941	0
26034	0
26044	2
26296	4
26372	4
26531	0
26679	2
26839	0
26965	0
27004	4
27041	0
