s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
558	6	0	49	6	1	1.206	1.205	57	16	2311	2311	73952	2228	83	155	719	440	1069	2464	26739	64	0	83	155	21	82	0.050
669	2	0	21	2	1	0.305	0.306	33	15	709	709	22688	672	37	67	235	112	325	460	2486	13	0	37	67	7	13	0.017
992	4	0	18	4	1	0.300	0.300	33	12	667	667	21344	629	38	53	209	98	322	448	3448	16	0	38	53	7	40	0.019
1048	6	6	14	0	1	0.338	0.339	37	7	649	649	20768	596	53	57	219	201	176	555	7223	36	0	53	57	6	6	0.014
1144	6	6	14	0	1	0.676	0.433	54	19	721	721	23072	661	60	64	227	254	180	661	9305	41	0	60	64	10	39	0.021
1223	4	0	41	4	1	0.447	0.448	41	18	1056	1056	33792	994	62	90	330	202	462	696	3734	18	0	62	90	12	42	0.028
1285	2	0	30	2	1	0.157	0.157	21	12	298	298	9536	287	11	41	55	23	209	20	324	4	0	11	41	4	23	0.013
1486	4	0	63	4	1	0.332	0.332	29	12	787	787	25184	741	46	73	190	193	358	504	2480	12	0	46	73	4	8	0.018
1797	4	4	16	4	1	0.619	0.619	37	14	950	950	30400	897	53	67	285	161	451	908	18498	18	0	53	67	11	90	0.031
2480	4	4	35	0	1	0.542	0.542	38	11	749	749	23968	704	45	64	167	276	261	713	20885	22	0	45	64	1	1	0.014
3038	6	6	36	6	1	0.525	0.525	29	12	657	657	21024	624	33	62	182	89	353	452	21166	22	0	33	62	2	7	0.016
3235	6	6	6	0	1	0.035	0.035	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
3625	6	6	11	0	1	0.121	0.122	18	5	214	214	6848	194	20	20	61	68	65	143	2559	13	1	20	20	4	5	0.006
4019	2	0	20	2	1	0.467	0.387	33	13	860	860	27520	800	60	82	236	207	357	644	2009	15	0	60	82	9	18	0.047
4303	6	6	14	0	1	0.117	0.118	18	8	207	207	6624	197	10	10	67	56	74	189	2539	9	1	10	10	3	18	0.006
4403	6	6	6	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
4440	6	2	15	4	1	0.468	0.468	59	13	957	957	30624	876	81	86	293	289	294	874	6472	51	0	81	86	10	25	0.024
4522	6	0	25	6	1	0.269	0.269	29	12	748	748	23936	695	53	65	217	181	297	436	2197	22	0	53	65	6	17	0.017
5273	2	2	34	2	1	0.543	0.543	57	26	1088	1088	34816	1041	47	93	358	223	460	1168	10749	26	0	47	93	15	52	0.030
5408	2	0	54	2	1	0.200	0.200	21	12	375	375	12000	360	15	39	103	22	235	20	2292	4	0	15	39	1	5	0.010
5532	6	0	17	6	1	0.511	0.511	37	13	682	682	21824	646	36	54	194	132	320	716	19928	32	0	36	54	7	22	0.016
5603	2	0	33	2	1	0.223	0.222	25	13	433	433	13856	419	14	40	117	42	260	204	4687	7	0	14	40	1	5	0.010
5644	6	6	10	0	1	0.310	0.310	28	3	238	238	7616	221	17	22	89	64	68	188	17268	24	1	17	22	1	1	0.005
5660	6	6	13	0	1	0.316	0.316	28	12	458	458	14656	438	20	36	128	108	202	199	10958	18	0	20	36	8	26	0.013
5900	4	4	26	4	1	0.748	0.748	53	20	1146	1146	36672	1073	73	103	413	233	427	840	23085	28	0	73	103	14	33	0.030
6004	6	6	4	0	1	0.037	0.037	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
6384	6	6	6	0	1	0.143	0.143	22	15	301	301	9632	296	5	7	119	28	149	253	2576	2	2	5	7	2	14	0.004
6426	6	0	23	6	1	0.751	0.752	49	22	846	846	27072	778	68	80	262	193	323	664	31963	37	0	68	80	11	23	0.023
7326	6	6	28	6	1	6.777	0.770	65	24	1172	1172	37504	1081	91	112	338	386	357	1204	27098	54	0	91	112	7	8	0.028
7986	6	6	9	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
8342	6	6	2	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
8485	6	6	20	0	1	0.991	0.992	57	12	585	585	18720	526	59	69	138	224	164	463	58138	52	0	59	69	4	33	0.022
8569	6	6	13	6	1	1.315	1.315	73	20	711	711	22752	636	75	87	170	303	163	780	80292	72	0	75	87	6	7	0.022
8715	6	6	17	6	1	7.958	0.956	49	17	792	792	25344	731	61	70	225	263	243	752	50283	44	0	61	70	9	10	7.047
8994	4	0	37	4	1	0.172	0.171	21	12	302	302	9664	286	16	35	61	40	185	20	4456	4	0	16	35	1	2	0.008
9342	6	6	4	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
10154	2	2	14	0	1	0.489	0.490	30	11	694	694	22208	660	34	56	264	115	281	385	15564	15	0	34	56	8	17	0.016
10458	6	6	16	6	1	3.195	0.902	49	14	1258	1258	40256	1170	88	98	463	283	424	1012	26622	46	0	88	98	16	86	0.039
10485	2	0	21	2	1	1.443	0.439	37	16	726	726	23232	674	52	68	249	86	339	676	9193	16	0	52	68	4	8	0.285
10494	6	0	38	6	1	2.490	0.731	37	12	1021	1021	32672	946	75	93	342	144	460	800	20828	36	0	75	93	7	13	0.024
12193	6	6	7	0	1	0.035	0.035	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
12261	6	6	18	6	1	3.041	0.930	45	13	1052	1052	33664	995	57	74	274	357	364	1008	39165	44	0	57	74	6	32	0.023
12445	6	6	19	0	1	0.676	0.676	38	10	1049	1049	33568	979	70	82	206	465	308	967	23287	34	0	70	82	7	7	0.021
12458	4	0	30	4	1	0.175	0.176	25	12	421	421	13472	408	13	35	117	60	231	164	5620	8	0	13	35	1	1	0.007
12519	6	6	11	4	1	0.383	0.384	45	17	280	280	8960	251	29	47	85	51	115	164	22186	28	1	29	47	4	22	0.013
12523	2	2	11	0	1	0.061	0.061	11	6	66	66	2112	60	6	8	20	11	29	31	2886	3	1	6	8	0	0	0.002
13054	6	6	6	0	1	0.405	0.055	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
