s2_ordinal	proved_mask
558	6
669	2
992	4
1048	0
1144	0
1223	4
1285	2
1486	4
1797	4
2480	0
3038	6
3235	0
3625	0
4019	2
4303	0
4403	0
4440	4
4522	6
5273	2
5408	2
5532	6
5603	2
5644	0
5660	0
5900	4
6004	0
6384	0
6426	6
7326	6
7986	0
8342	0
8485	0
8569	6
8715	6
8994	4
9342	0
10154	0
10458	6
10485	2
10494	6
12193	0
12261	6
12445	0
12458	4
12519	4
12523	0
13054	0
13348	4
14023	0
14372	0
14553	0
14830	0
15096	0
15116	0
15412	6
15926	0
16047	0
16326	0
16551	6
16672	0
16895	0
17012	0
17845	0
17979	0
18295	2
18680	2
18779	0
18944	4
19207	6
19267	6
19423	4
19435	4
19533	6
19609	4
19688	0
20514	4
20541	4
20549	0
20567	0
21043	4
21620	2
21694	6
23079	0
23103	6
23199	4
23617	6
24390	6
24728	6
24913	0
25548	6
26034	6
26148	4
26372	0
26531	0
26590	4
27176	0
27679	4
27974	0
28108	0
28206	2
28864	0
28866	4
29013	0
29173	4
29178	6
29182	6
29210	6
29215	6
29223	4
29224	6
29226	4
29227	4
29604	2
29691	6
30016	0
30372	2
30641	0
30724	0
30846	0
30962	0
31086	2
31330	4
32129	0
32675	4
32746	4
32748	2
32751	0
32753	0
32802	4
32830	6
33213	6
33531	0
33798	2
33875	0
33976	4
34095	4
34842	0
35123	2
35128	2
35130	6
35132	6
35135	6
35690	0
35887	0
36001	0
36004	4
36006	6
36245	0
36249	2
36304	2
36312	2
36453	6
36676	6
36869	0
36886	2
36889	2
36890	2
36924	0
37245	2
37302	0
37907	0
38124	6
38407	4
38436	0
38510	0
38521	6
38712	0
39006	4
39038	4
39118	0
39125	4
39144	0
39147	0
39308	6
39758	0
40106	0
40126	0
40228	0
40380	0
40405	2
40621	6
40983	0
40985	4
41033	2
41512	4
41607	6
41649	0
41830	6
41857	0
43097	4
43438	0
44634	4
45011	6
45315	0
45491	0
45513	0
46267	0
47349	0
47365	6
47456	0
47464	0
47465	0
47602	6
47639	4
47741	4
48242	2
48280	2
48612	6
48821	6
48987	6
49126	2
49129	2
49130	2
49156	2
49157	6
49166	2
49181	6
49208	6
49239	4
49530	4
49719	0
49918	0
50504	0
50539	0
50549	0
50732	6
50758	0
50808	4
51254	2
51258	2
51263	6
51553	4
51574	0
51658	0
51974	4
51977	4
52062	0
52689	0
52882	6
52936	0
53310	6
53594	0
53663	0
53759	0
53838	0
53883	0
53991	0
54277	0
54358	0
54644	0
54650	0
54827	0
55182	0
55331	0
55384	0
55648	0
