line12 12
0 7 9
3 7 9
4 7 9
7 7 9
8 7 9
11 7 9
12 7 9
15 7 9
16 7 9
19 7 9
20 7 9
23 7 9
shell14 14
15 10 10
5 10 10
10 15 10
10 5 10
10 10 15
10 10 5
13 14 10
13 6 10
7 14 10
7 6 10
10 13 14
10 7 6
10 10 10
20 25 30
spatial12 12
7 42 83
91 12 64
33 88 9
54 20 71
18 61 39
76 53 95
42 7 24
62 94 47
3 29 58
85 73 15
29 36 97
58 65 3
scan14 14
1003 2001 501
1042 2000 504
1080 2003 506
1121 2004 509
1161 2001 512
1201 2000 516
1014 2003 560
1055 2003 565
1100 2007 568
1147 2006 569
1191 2004 572
1101 1990 400
1101 1990 471
1102 1991 541
cluster14 14
5205 5041 5044
5190 5293 5008
5130 5205 5007
5041 5033 5052
5148 5251 5019
5062 5290 5033
5262 5117 5023
5282 5248 5010
5266 5040 5056
5159 5201 5051
5141 5269 5029
5151 5129 5037
5187 5125 5027
5292 5210 5039
