test	label	kmax	sampled_sites	found	missing	cross_fail	extra	top_keys	top_population	extended	crl_unique	mutant_killed	dup_keys	extra_extended	all_sites
mhgp9_q2_judge_mutant_level	uniform_2000	5	50	0	1712	0	1712	0	6539	0	-	0	0	0	0
mhgp9_q3_judge_uniform_2000_k5	uniform_2000	5	20	2491	0	0	0	961	29083	0	961	1	0	0	0
mhgp9_q3_judge_fixture_cospheric	fixture_cospheric	5	417	38700	0	0	0	4782	4782	3	4782	1	0	0	1
mhgp9_q3_judge_mutant_shell_trim	fixture_cospheric	5	417	38697	3	0	3	4782	4782	3	4782	1	0	0	1
mhgp9_q2_judge_mutant_shell_dup	uniform_2000	5	50	0	1712	0	1798	0	6539	0	-	0	0	0	0
mhgp9_q3_judge_uniform_2000_u18_k5	uniform_2000_u18	5	20	2491	0	0	0	961	29083	0	961	1	0	0	0
mhgp9_q2_judge_uniform_2000_u18_k5	uniform_2000_u18	5	50	1712	0	0	0	311	6539	0	-	1	0	0	0
mhgp9_q2_judge_mutant_key	uniform_2000	5	50	0	1712	0	1712	0	6539	0	-	0	0	0	0
mhgp9_q2_judge_uniform_2000_k5	uniform_2000	5	50	1712	0	0	0	311	6539	0	-	1	0	0	0
mhgp9_q2_judge_fixture_cospheric	fixture_cospheric	5	417	12044	0	0	0	1038	1038	34	-	1	0	0	1
mhgp9_q3_judge_mutant_shell_dup	fixture_eq	5	34	0	369	0	369	0	52	0	0	0	0	0	1
mhgp9_q3_judge_mutant_level	fixture_eq	5	34	0	369	0	369	0	52	0	0	0	0	0	1
mhgp9_q3_judge_mutant_overprune	fixture_eq	5	34	369	0	0	0	52	52	0	0	1	0	0	1
mhgp9_q3_judge_fixture_eq	fixture_eq	5	34	369	0	0	0	52	52	0	0	1	0	0	1
mhgp9_q3_judge_mutant_drop_crl	fixture_crl	5	1	1	0	0	0	1	50	0	1	1	0	0	0
mhgp9_q3_judge_mutant_key	fixture_eq	5	34	0	369	0	369	0	52	0	0	0	0	0	1
mhgp9_q3_judge_fixture_crl	fixture_crl	5	1	1	0	0	0	1	50	0	1	1	0	0	0
mhgp9_q3_judge_mutant_drop_long	fixture_crl	5	1	1	0	0	0	1	50	0	1	1	0	0	0
mhgp9_q2_judge_mutant_shell_trim	fixture_cospheric	5	417	12010	34	0	2	1038	1038	34	-	1	0	7	1
mhgp9_q2_judge_mutant_ext_dup	fixture_cospheric	5	417	12044	0	0	0	1038	1038	34	-	1	1	1	1
mhgp9_q2_judge_mutant_ext_phantom	fixture_cospheric	5	417	12044	0	0	0	1038	1038	34	-	1	0	1	1
mhgp9_q3_judge_mutant_ext_dup	fixture_cospheric	5	417	38700	0	0	0	4782	4782	3	4782	1	1	1	1
mhgp9_q3_judge_mutant_ext_phantom	fixture_cospheric	5	417	38700	0	0	0	4782	4782	3	4782	1	0	1	1
mhgp9_q3_judge_clusters_8000_k10	clusters_8000	10	20	9359	0	0	0	1758	221263	0	13	1	0	0	0
mhgp9_q3_judge_terrain_8000_k10_compare	terrain_8000	10	10	1364	0	0	0	263	68617	0	262	1	0	0	0
mhgp9_q3_judge_lidar_s00_8000_k10	lidar_s00_8000.u32le	10	20	4953	0	0	0	954	152067	0	9	1	0	0	0
mhgp9_q2_judge_clusters_8000_k10	clusters_8000	10	50	3021	0	0	0	270	22691	1	-	1	0	0	0
mhgp9_q3_judge_lidar_s01_8000_k10	lidar_s01_8000.u32le	10	20	4557	0	0	0	799	95032	0	29	1	0	0	0
mhgp9_q3_judge_uniform_8000_k10	uniform_8000	10	20	9409	0	0	0	1868	277105	0	1868	1	0	0	0
