seed a b F mask q3_4 q4_4 closed_4 q3_8 q4_8 closed_8 q3_16 q4_16 closed_16
230923 6149 46785 1494 4 0 0 0 0 1 0 0 3 1
230923 104310 116428 1468 4 0 1 0 0 1 0 0 1 0
230923 22260 38211 1458 4 0 7 1 0 13 1 0 26 1
230923 24606 38950 1033 6 4 4 1 8 8 1 13 11 1
230923 47537 62756 1243 4 0 8 1 0 16 1 0 32 1
230923 53985 58442 1076 4 0 4 1 0 7 1 0 10 1
230923 9807 29906 1043 6 0 0 0 1 0 0 1 0 0
230923 9805 46781 1354 6 4 0 0 7 1 0 8 4 1
230923 26063 38205 1221 4 0 4 1 0 8 1 0 16 1
230923 8437 10452 1497 6 2 0 0 4 0 0 8 0 0
230923 1156 6748 1119 6 0 0 0 0 0 0 0 0 0
230923 113998 121290 1680 6 0 0 0 0 0 0 0 0 0
230923 9805 38218 1476 4 0 3 1 0 4 1 0 4 1
230923 4918 17654 2802 6 0 0 0 0 0 0 0 0 0
230923 16841 42488 1236 4 0 5 1 0 9 1 0 16 1
230923 28630 64907 1185 6 8 8 1 16 16 1 32 30 1
230923 4896 75610 1001 4 0 1 0 0 2 0 0 2 0
230923 20476 31935 2252 4 0 0 0 0 2 0 0 5 1
230923 10419 10600 2607 6 0 0 0 0 0 0 0 0 0
230923 12335 71250 1187 6 8 8 1 16 14 1 30 26 1
230923 24998 58299 5460 4 0 7 1 0 14 1 0 27 1
230923 15905 30634 4555 4 0 0 0 0 0 0 0 0 0
230923 10601 51832 5552 6 8 6 1 16 13 1 29 21 1
230923 10421 37075 3822 6 0 0 0 0 0 0 0 0 0
230923 15710 49931 5764 6 1 0 0 2 0 0 11 0 0
230923 15712 19410 3435 6 0 0 0 0 0 0 0 0 0
230923 6773 54237 5520 6 2 2 0 5 2 0 14 3 1
230923 17657 20999 4150 6 0 0 0 0 0 0 0 0 0
230923 15909 45393 5834 4 0 0 0 0 0 0 0 2 0
230923 1239 25008 3816 6 0 0 0 0 0 0 0 0 0
230923 28625 45642 5810 6 2 1 0 3 1 0 7 1 0
230923 28627 54232 5796 4 0 2 0 0 4 1 0 5 1
230923 19411 24769 3952 6 0 0 0 1 0 0 1 0 0
230923 4920 67164 5325 6 8 8 1 16 13 1 32 25 1
230923 15707 25014 5324 4 0 0 0 0 0 0 0 0 0
230923 36829 41350 5771 4 0 1 0 0 1 0 0 1 0
230923 1231 10610 4020 4 0 0 0 0 0 0 0 0 0
230923 25010 36832 5816 6 4 1 0 8 2 0 8 2 0
230923 20994 21249 5760 6 0 0 0 0 0 0 0 0 0
230923 4917 23115 4130 4 0 0 0 0 0 0 0 0 0
230923 20999 41360 6300 6 4 0 0 8 1 0 14 1 0
230923 24772 41360 6325 6 7 2 0 13 2 0 21 3 1
230923 36836 37097 7107 4 0 3 1 0 5 1 0 9 1
230923 30634 62867 6895 4 0 4 1 0 8 1 0 20 1
230923 26928 41104 6321 6 1 0 0 1 0 0 1 0 0
230923 22875 54243 6809 4 0 4 1 0 8 1 0 13 1
230923 10906 15916 6413 4 0 1 0 0 1 0 0 1 0
230923 3600 21259 6399 4 0 0 0 0 0 0 0 0 0
230923 28624 32929 6209 6 3 0 0 3 0 0 3 0 0
230923 20994 25017 6219 6 1 0 0 1 0 0 1 0 0
230923 26683 28881 6151 6 4 0 0 7 0 0 10 0 0
